NDA,INDIA,YSRCP,AAP,AD(WPD),AIMIM,ASP(KR),SAD,UPPL,ZPM,JKAIP,IND,is_hung
222,276,16,7,2,6,0,4,0,0,1,9,False
266,236,15,10,2,0,2,2,1,1,0,8,True
283,231,8,11,3,2,1,1,0,1,2,0,False
274,238,6,8,0,4,2,2,0,1,1,7,False
266,244,16,3,2,2,1,0,1,0,2,6,True
282,230,7,12,2,2,2,2,0,1,2,1,False
294,204,18,7,1,1,2,4,2,1,0,9,False
272,246,2,4,3,4,1,3,2,1,2,3,False
242,264,15,2,4,1,3,0,2,2,2,6,True
260,254,6,11,3,3,2,3,0,0,0,1,True
254,248,15,6,5,3,0,4,1,1,1,5,True
240,266,21,4,3,0,1,2,2,0,0,4,True
287,239,0,2,3,0,2,1,2,0,1,6,False
240,262,13,12,5,4,1,2,1,2,0,1,True
305,209,3,1,5,6,2,2,2,0,2,6,False
323,185,11,10,2,3,0,2,0,0,2,5,False
285,216,22,1,2,0,1,5,1,2,1,7,False
279,213,18,15,1,5,1,4,2,1,2,2,False
270,227,13,15,0,4,2,1,2,0,2,7,True
296,204,12,13,0,5,1,4,1,1,0,6,False
246,270,2,10,3,0,3,2,2,0,0,5,True
262,242,18,2,4,0,0,3,2,0,0,10,True
299,217,9,4,3,3,1,0,0,2,1,4,False
260,265,1,1,1,3,2,2,1,2,0,5,True
276,230,19,4,4,2,2,3,2,1,0,0,False
247,269,0,13,3,0,1,3,0,0,1,6,True
257,240,7,11,4,6,3,4,0,0,1,10,True
327,194,5,0,0,3,2,2,0,2,1,7,False
309,195,4,13,3,2,2,2,2,0,2,9,False
276,229,15,0,1,3,3,5,0,2,0,9,False
271,244,4,11,0,2,1,1,0,2,1,6,True
273,229,23,1,4,5,1,1,0,2,2,2,False
267,236,1,15,5,1,3,1,1,1,2,10,True
266,243,8,5,5,6,1,5,1,1,1,1,True
346,178,4,3,1,0,0,4,2,0,0,5,False
282,223,15,7,2,1,2,3,0,2,0,6,False
323,191,10,1,3,6,0,2,2,0,0,5,False
260,244,7,13,3,2,3,4,1,0,1,5,True
238,267,21,1,4,0,2,2,0,2,0,6,True
221,280,17,11,2,3,2,3,2,0,1,1,False
237,270,5,11,2,1,1,3,2,1,2,8,True
284,231,6,5,0,2,2,2,0,1,2,8,False
263,248,13,3,1,1,3,4,2,2,2,1,True
331,182,11,9,2,1,0,4,0,0,2,1,False
279,247,12,1,0,1,1,0,1,0,1,0,False
327,192,5,2,4,0,1,3,1,2,2,4,False
297,198,22,7,4,5,3,4,1,0,1,1,False
322,199,4,3,3,3,3,2,0,0,0,4,False
298,215,19,1,0,4,0,0,1,2,2,1,False
265,233,16,11,1,5,1,3,1,1,1,5,True
260,246,16,2,3,3,1,2,2,2,2,4,True
299,212,15,9,1,1,0,0,1,1,0,4,False
303,210,8,5,3,2,2,1,1,1,0,7,False
258,226,21,15,4,6,3,2,2,0,1,5,True
278,234,9,8,1,4,2,2,2,1,0,2,False
239,277,0,3,3,4,2,5,2,0,2,6,False
303,189,16,11,3,0,2,5,2,0,2,10,False
230,276,9,8,2,5,3,4,2,2,0,2,False
290,238,1,1,3,3,0,1,0,1,0,5,False
268,229,16,7,4,5,3,4,1,1,0,5,True
221,288,19,1,4,0,2,0,1,1,2,4,False
281,233,4,8,3,2,2,4,2,2,1,1,False
304,211,12,4,1,1,3,0,0,2,1,4,False
296,215,3,10,1,3,3,4,1,2,1,4,False
247,241,17,15,0,5,3,5,1,0,0,9,True
295,232,3,1,2,3,0,3,1,0,0,3,False
267,246,9,3,4,2,1,2,0,0,1,8,True
268,240,12,1,2,5,0,4,2,0,2,7,True
261,225,20,15,0,5,0,4,1,0,2,10,True
333,179,6,3,2,1,3,4,2,0,0,10,False
248,260,22,0,0,0,0,0,2,1,2,8,True
317,190,6,12,1,0,2,4,2,2,0,7,False
278,228,17,11,2,0,1,1,0,0,1,4,False
260,251,12,9,0,4,1,0,2,2,0,2,True
254,251,2,13,4,6,2,3,1,0,0,7,True
274,232,6,15,3,5,1,1,1,0,2,3,False
235,274,13,6,3,4,1,2,2,1,1,1,False
227,279,12,4,2,3,2,3,0,1,1,9,False
276,229,14,9,5,2,3,2,0,0,2,1,False
321,199,2,3,3,2,3,3,1,1,2,3,False
