scenario,tracked_bloc,target_margin_pp,total_seats,quota,tracked_seat_share,tracked_vote_share,mean_bonus,bonus_std,pct_tracked_majority
S0_NDA_Real,NDA,11.1,534,268,0.6645805243445712,0.528642420683,0.1359381036615698,0.016794147359440695,1.0
S0_NDA_Real,NDA,11.1,543,272,0.6655076734192747,0.5286353011939765,0.13687237222529924,0.016342567051504647,1.0
S0_NDA_Real,NDA,11.1,554,278,0.6654945848375441,0.5287716605117455,0.13672292432579938,0.01662262201346081,1.0
S0_NDA_Real,NDA,11.1,574,288,0.6654041811846679,0.5288183433167006,0.13658583786796857,0.016197351769834435,1.0
S0_NDA_Real,NDA,11.1,594,298,0.6646936026936013,0.5287028673242211,0.13599073536938186,0.01553885066121527,1.0
S0_NDA_Real,NDA,11.1,614,308,0.664555917480998,0.5285706680184643,0.1359852494625347,0.01568409291074808,1.0
S0_NDA_Real,NDA,11.1,634,318,0.665808622502628,0.5288593591312928,0.136949263371336,0.015441048321630868,1.0
S0_NDA_Real,NDA,11.1,654,328,0.6656513761467895,0.5288791576278188,0.13677221851897037,0.014749603857381654,1.0
S0_NDA_Real,NDA,11.1,674,338,0.6649040553906881,0.5287004926694419,0.13620356272126044,0.014748442136359728,1.0
S0_NDA_Real,NDA,11.1,694,348,0.665355427473582,0.5287128757299547,0.136642551743629,0.014619120737846835,1.0
S0_NDA_Real,NDA,11.1,714,358,0.6657133520074696,0.5288215256217073,0.13689182638576228,0.014196156952663288,1.0
S0_NDA_Real,NDA,11.1,734,368,0.6655258855585819,0.5287517112527305,0.13677417430585168,0.014612844216801172,1.0
S0_NDA_Real,NDA,11.1,754,378,0.6649929266136306,0.5286761886654844,0.13631673794813284,0.014126479679632726,1.0
S0_NDA_Real,NDA,11.1,774,388,0.665974160206704,0.5288868522934563,0.1370873079132617,0.01400219328757196,1.0
S0_NDA_Real,NDA,11.1,794,398,0.6647111670864859,0.5285817603854058,0.13612940670107607,0.013684025604995643,1.0
S0_NDA_Real,NDA,11.1,814,408,0.6652022932022933,0.528786527573507,0.13641576562878566,0.013790506313585658,1.0
S0_NDA_Real,NDA,11.1,834,418,0.664960831334933,0.5286657860385633,0.1362950452963678,0.013488945253020914,1.0
S0_NDA_Real,NDA,11.1,850,426,0.6650823529411645,0.5287500118731,0.13633234106807662,0.013411594704993946,1.0
S0_NDA_Real,NDA,11.1,854,428,0.6655456674473064,0.528677231219885,0.1368684362274222,0.013573170459292405,1.0
S0_NDA_Real,NDA,11.1,874,438,0.6655461479786424,0.5287065871157465,0.13683956086289528,0.01330943676172434,1.0
S0_NDA_Real,NDA,11.1,894,448,0.6647106636838187,0.5285738607584605,0.13613680292535707,0.012890088666588192,1.0
S0_NDA_Real,NDA,11.1,914,458,0.6651750547045955,0.5287294688440229,0.13644558586057234,0.012770615858771981,1.0
S0_NDA_Real,NDA,11.1,934,468,0.6652048536759438,0.5287934459326782,0.13641140774326818,0.012751078970964032,1.0
S0_NDA_Real,NDA,11.1,954,478,0.6652278127183779,0.5288159122384521,0.13641190047992596,0.012624108979124438,1.0
S0_NDA_Real,NDA,11.1,974,488,0.6652375085557832,0.5287877942883223,0.136449714267461,0.01261127079670581,1.0
S0_NDA_Real,NDA,11.1,994,498,0.6651099932930922,0.5286679093706015,0.13644208392249102,0.01245653361262098,1.0
S0_NDA_Real,NDA,11.1,1000,501,0.665257333333332,0.5288899976310072,0.136367335702326,0.012165018787900713,1.0
S1_INDIA_Mirror,INDIA,11.1,534,268,0.665151061173535,0.5288040206590426,0.13634704051449048,0.016440263371865806,1.0
S1_INDIA_Mirror,INDIA,11.1,543,272,0.665328422344999,0.5287901267576505,0.13653829558734618,0.016367027441917748,1.0
S1_INDIA_Mirror,INDIA,11.1,554,278,0.6656221419975924,0.5289765857284363,0.13664555626915642,0.01627321849967022,1.0
S1_INDIA_Mirror,INDIA,11.1,574,288,0.6656747967479651,0.5288631381587966,0.13681165858917146,0.015543106477449869,1.0
S1_INDIA_Mirror,INDIA,11.1,594,298,0.6655286195286174,0.5287476723704942,0.13678094715812456,0.015716352694836348,1.0
S1_INDIA_Mirror,INDIA,11.1,614,308,0.6649153094462534,0.528708366340563,0.13620694310569134,0.015781942225638664,1.0
S1_INDIA_Mirror,INDIA,11.1,634,318,0.6654237644584641,0.5288600754451115,0.13656368901335297,0.015624777157516832,1.0
S1_INDIA_Mirror,INDIA,11.1,654,328,0.6648460754332329,0.5286829082760907,0.1361631671571402,0.015142602044861977,1.0
S1_INDIA_Mirror,INDIA,11.1,674,338,0.6657111770524091,0.5289440053676124,0.136767171684811,0.014663353303623651,1.0
S1_INDIA_Mirror,INDIA,11.1,694,348,0.6655965417867419,0.5287758184432297,0.1368207233435142,0.014414224922575401,1.0
S1_INDIA_Mirror,INDIA,11.1,714,358,0.6653314659197002,0.5287066007346202,0.13662486518508046,0.014345463210707036,1.0
S1_INDIA_Mirror,INDIA,11.1,734,368,0.6661698455949128,0.5288383727460605,0.1373314728488543,0.013978273976958272,1.0
S1_INDIA_Mirror,INDIA,11.1,754,378,0.6660229885057616,0.52907764839233,0.13694534011341755,0.013751385560066009,1.0
S1_INDIA_Mirror,INDIA,11.1,774,388,0.6655099052540768,0.5288714977124906,0.13663840754160042,0.013815523251595208,1.0
S1_INDIA_Mirror,INDIA,11.1,794,398,0.6663047858942103,0.5289516496072287,0.137353136286977,0.013635510276288827,1.0
S1_INDIA_Mirror,INDIA,11.1,814,408,0.6651670761670758,0.5287011162064431,0.1364659599606338,0.013475866735836853,1.0
S1_INDIA_Mirror,INDIA,11.1,834,418,0.6655179856115117,0.5288329499120148,0.13668503569949544,0.013051582809717363,1.0
S1_INDIA_Mirror,INDIA,11.1,850,426,0.665307450980381,0.5287080446412672,0.1365994063391236,0.013345225466263929,1.0
S1_INDIA_Mirror,INDIA,11.1,854,428,0.6659945355191267,0.5289774916173174,0.13701704390180833,0.013380538763058978,1.0
S1_INDIA_Mirror,INDIA,11.1,874,438,0.6651937452326458,0.5287536872685017,0.13644005796414568,0.013238785317061491,1.0
S1_INDIA_Mirror,INDIA,11.1,894,448,0.6656413124533931,0.528821772024122,0.13681954042927105,0.012524562019020455,1.0
S1_INDIA_Mirror,INDIA,11.1,914,458,0.6651247264770239,0.5287102981026205,0.13641442837440312,0.013110452104274977,1.0
S1_INDIA_Mirror,INDIA,11.1,934,468,0.6650406852248361,0.5287327151424738,0.13630797008236614,0.012483554846907793,1.0
S1_INDIA_Mirror,INDIA,11.1,954,478,0.6653158630328438,0.5288000940929352,0.1365157689399088,0.012241272576370598,1.0
S1_INDIA_Mirror,INDIA,11.1,974,488,0.6655154004106781,0.5288249410222815,0.1366904593883956,0.011970268036347077,1.0
S1_INDIA_Mirror,INDIA,11.1,994,498,0.6656036217303822,0.5287902625008941,0.13681335922948754,0.0120553248811139,1.0
S1_INDIA_Mirror,INDIA,11.1,1000,501,0.6655506666666651,0.528850007719449,0.136700658947217,0.012351505727147785,1.0
S2_Tossup,NDA,0.0,534,268,0.48749188514356684,0.47594567059638476,0.011546214547186125,0.01797815809132348,0.26
S2_Tossup,NDA,0.0,543,272,0.48726335174953944,0.47602120616279325,0.011242145586745867,0.017202611375683265,0.264
S2_Tossup,NDA,0.0,554,278,0.48689651022864133,0.47600520593930323,0.010891304289337447,0.017584496950379315,0.26466666666666666
S2_Tossup,NDA,0.0,574,288,0.487346109175378,0.47618188056327077,0.011164228612106976,0.0168138713260247,0.252
S2_Tossup,NDA,0.0,594,298,0.48740965207632103,0.47608078162226436,0.011328870454053338,0.017324852135056815,0.26066666666666666
S2_Tossup,NDA,0.0,614,308,0.4870086862106362,0.4759717122551468,0.011036973955494153,0.016610289933493037,0.25133333333333335
S2_Tossup,NDA,0.0,634,318,0.4867192429022082,0.4757680496274012,0.01095119327480649,0.016088997286637617,0.24733333333333332
S2_Tossup,NDA,0.0,654,328,0.4865912334352695,0.47590017509504606,0.010691058340223405,0.016103078816712153,0.23466666666666666
S2_Tossup,NDA,0.0,674,338,0.48662413452027947,0.47581864856137546,0.010805485958901049,0.016102165090209564,0.23266666666666666
S2_Tossup,NDA,0.0,694,348,0.48706532180595574,0.47610949258323393,0.01095582922272136,0.015430453583252809,0.236
S2_Tossup,NDA,0.0,714,358,0.4871904761904756,0.475872805179974,0.011317671010502316,0.015498374712913033,0.22
S2_Tossup,NDA,0.0,734,368,0.4869754768392372,0.47590601044368686,0.011069466395550336,0.015301612234627414,0.22866666666666666
S2_Tossup,NDA,0.0,754,378,0.48661626878868,0.47584061358743984,0.010775655201243272,0.015214736980354337,0.216
S2_Tossup,NDA,0.0,774,388,0.4868535745047398,0.47589168232392504,0.010961892180812166,0.015043080225135399,0.21466666666666667
S2_Tossup,NDA,0.0,794,398,0.48653148614609176,0.4758931285893315,0.010638357556763865,0.014213063877749812,0.21533333333333332
S2_Tossup,NDA,0.0,814,408,0.48734316134316064,0.47599674893053345,0.011346412412627543,0.01487266143501353,0.22133333333333333
S2_Tossup,NDA,0.0,834,418,0.4867242206235014,0.4758160897790146,0.01090813084448691,0.013532027715506954,0.18733333333333332
S2_Tossup,NDA,0.0,850,426,0.48729333333333835,0.4760462676982818,0.011247065635051177,0.01415043481109866,0.226
S2_Tossup,NDA,0.0,854,428,0.4863528493364562,0.4758367527958912,0.010516096540564481,0.013658282845953695,0.196
S2_Tossup,NDA,0.0,874,438,0.4868512585812359,0.47595639567530035,0.010894862905935256,0.014131709595479998,0.21266666666666667
S2_Tossup,NDA,0.0,894,448,0.486812826249069,0.4759457949393981,0.010867031309669406,0.014240387001089892,0.21266666666666667
S2_Tossup,NDA,0.0,914,458,0.4870824215900795,0.475939243012951,0.011143178577129102,0.013553318419506626,0.21266666666666667
S2_Tossup,NDA,0.0,934,468,0.48714703783012236,0.47595311914631583,0.011193918683805091,0.013738346212554011,0.21533333333333332
S2_Tossup,NDA,0.0,954,478,0.4866072676450035,0.47589493245773967,0.010712335187263845,0.013237190348019316,0.19333333333333333
S2_Tossup,NDA,0.0,974,488,0.48682067077344365,0.4759244654921997,0.010896205281243581,0.013228999314625985,0.19333333333333333
S2_Tossup,NDA,0.0,994,498,0.48674111334674647,0.47588538578198314,0.01085572756476489,0.013128239748942885,0.192
S2_Tossup,NDA,0.0,1000,501,0.4870313333333343,0.47602150624694856,0.011009827086385083,0.013541473626585665,0.20733333333333334
S3_INDIA_Small,INDIA,3.0,534,268,0.536530586766549,0.4901567864620484,0.04637380030449335,0.017817701315454154,0.9513333333333334
S3_INDIA_Small,INDIA,3.0,543,272,0.5365352977286678,0.49008534880130217,0.04644994892736548,0.016903524114542882,0.9626666666666667
S3_INDIA_Small,INDIA,3.0,554,278,0.5367930204572781,0.4902903214742185,0.046502698983062356,0.017861096573693683,0.9526666666666667
S3_INDIA_Small,INDIA,3.0,574,288,0.5369976771196299,0.49028307631344237,0.04671460080618537,0.016963015668331274,0.958
S3_INDIA_Small,INDIA,3.0,594,298,0.5374208754208704,0.49042785423115287,0.04699302118972266,0.016655407086797927,0.962
S3_INDIA_Small,INDIA,3.0,614,308,0.5371476655808998,0.4903718252733451,0.046775840307545,0.015851319614663108,0.974
S3_INDIA_Small,INDIA,3.0,634,318,0.5370010515247101,0.4902870364118121,0.046714015112898834,0.01625019009862412,0.964
S3_INDIA_Small,INDIA,3.0,654,328,0.5361304791029557,0.4900699508959346,0.04606052820702224,0.01596722482190631,0.9673333333333334
S3_INDIA_Small,INDIA,3.0,674,338,0.5371295746785294,0.4903215621170683,0.04680801256146808,0.01563492170341249,0.9773333333333334
S3_INDIA_Small,INDIA,3.0,694,348,0.5369769452449554,0.4902211069063979,0.04675583833855906,0.015407012765213189,0.972
S3_INDIA_Small,INDIA,3.0,714,358,0.5375574229691891,0.49033421172334013,0.04722321124584808,0.015055050622735327,0.9746666666666667
S3_INDIA_Small,INDIA,3.0,734,368,0.536960944595822,0.49038974939458674,0.04657119520123402,0.015007661633461549,0.9813333333333333
S3_INDIA_Small,INDIA,3.0,754,378,0.537495137046868,0.490395519006506,0.047099618040355146,0.014772101618390305,0.9753333333333334
S3_INDIA_Small,INDIA,3.0,774,388,0.5373505598621807,0.4903834693015421,0.04696709056064602,0.01478910743463311,0.98
S3_INDIA_Small,INDIA,3.0,794,398,0.5366246851385468,0.4901930290736398,0.04643165606489947,0.014585291814455129,0.9833333333333333
S3_INDIA_Small,INDIA,3.0,814,408,0.5368877968877971,0.49021912471398793,0.046668672173809225,0.01450790710497426,0.9746666666666667
S3_INDIA_Small,INDIA,3.0,834,418,0.5373221422861715,0.4904307299807173,0.04689141230545461,0.014316627891916043,0.9813333333333333
S3_INDIA_Small,INDIA,3.0,850,426,0.536735686274501,0.4901856400137591,0.04655004626074981,0.013664062965818012,0.9853333333333333
S3_INDIA_Small,INDIA,3.0,854,428,0.5366424668227942,0.4901477762102491,0.046494690612546415,0.013889366142074753,0.9886666666666667
S3_INDIA_Small,INDIA,3.0,874,438,0.5372074752097645,0.4901897613040376,0.0470177139057252,0.013402073043470507,0.9946666666666667
S3_INDIA_Small,INDIA,3.0,894,448,0.5368031319910517,0.4902320119217784,0.04657112006927346,0.014101823995271516,0.9853333333333333
S3_INDIA_Small,INDIA,3.0,914,458,0.5371057622173587,0.490300440561174,0.04680532165618652,0.01338189298500653,0.9826666666666667
S3_INDIA_Small,INDIA,3.0,934,468,0.5373033547466101,0.4903849825977519,0.046918372148857364,0.013051084521849391,0.9913333333333333
S3_INDIA_Small,INDIA,3.0,954,478,0.5368742138364783,0.4903199299363135,0.046554283900163654,0.013498167910999514,0.9886666666666667
S3_INDIA_Small,INDIA,3.0,974,488,0.5369199178644756,0.49030602089658276,0.04661389696789393,0.013060867379160533,0.9906666666666667
S3_INDIA_Small,INDIA,3.0,994,498,0.5367122736418519,0.490220659876204,0.046491613765647394,0.01312951747739414,0.9873333333333333
S3_INDIA_Small,INDIA,3.0,1000,501,0.5370739999999994,0.49029237693331923,0.04678162306668038,0.012712860740296065,0.9906666666666667
S4_NDA_Small,NDA,3.0,534,268,0.5375817727840275,0.4904314819443406,0.04715029083967971,0.01749897071185919,0.9593333333333334
S4_NDA_Small,NDA,3.0,543,272,0.5359545733578883,0.49000950045227487,0.045945072905613546,0.017165471868798375,0.948
S4_NDA_Small,NDA,3.0,554,278,0.5367015643802603,0.490199007806742,0.046502556573522195,0.017348733164388966,0.96
