State,Seats_2024,NDA_2024,INDIA_2024,Other_2024
Uttar Pradesh,80,36,43,1
Maharashtra,48,17,30,1
West Bengal,42,12,29,1
Bihar,40,30,9,1
Tamil Nadu,39,0,39,0
Madhya Pradesh,29,29,0,0
Karnataka,28,19,9,0
Gujarat,26,25,1,0
Andhra Pradesh,25,21,0,4
Rajasthan,25,14,11,0
Odisha,21,20,1,0
Kerala,20,1,18,1
Telangana,17,8,8,1
Assam,14,11,3,0
Jharkhand,14,9,5,0
Punjab,13,0,8,5
Chhattisgarh,11,10,1,0
Haryana,10,5,5,0
Delhi,7,7,0,0
Jammu and Kashmir,5,1,2,2
Uttarakhand,5,5,0,0
Himachal Pradesh,4,4,0,0
Arunachal Pradesh,2,2,0,0
Dadra and Nagar Haveli and Daman and Diu,2,1,0,1
Goa,2,1,1,0
Tripura,2,2,0,0
Manipur,2,0,2,0
Meghalaya,2,0,2,0
Mizoram,1,0,0,1
Nagaland,1,0,1,0
Sikkim,1,0,0,1
Chandigarh,1,0,1,0
Andaman and Nicobar Islands,1,1,0,0
Ladakh,1,0,0,1
Lakshadweep,1,0,1,0
Puducherry,1,0,1,0
