State,Quota,NDA_Seats_Est,INDIA_Seats_Est,Women_Seats,Unaligned_Seats,Hung_Parliament_Risk
Uttar_Pradesh,419,256,256,107,217,High
Madhya_Pradesh,255,153,153,73,129,High
Bihar,262,160,160,67,136,High
Andhra_Pradesh,248,150,150,67,128,High
West_Bengal,234,141,141,65,120,High
Maharashtra,257,157,157,65,134,High
Tamil_Nadu,166,102,102,41,86,High
Rajasthan,146,88,88,40,74,High
Karnataka,161,99,99,39,84,High
Gujarat,136,82,82,37,69,High
Odisha,124,74,74,36,63,High
Mysore,111,66,66,32,57,High
Punjab,118,72,72,30,61,High
Kerala,121,74,74,30,62,High
Madras,81,46,46,29,39,High
Assam,90,53,53,25,47,High
Chhattisgarh,61,36,36,19,30,High
Jammu_&_Kashmir,76,46,46,18,41,High
Delhi,71,43,43,18,37,High
Arunachal_Pradesh,46,26,26,17,22,High
Himachal_Pradesh,53,31,31,16,27,High
Telangana,60,36,36,15,32,High
Haryana,66,40,40,15,36,High
Meghalaya,48,27,27,15,25,High
Mizoram,47,27,27,14,24,High
Uttarakhand,48,28,28,13,25,High
Jharkhand,48,28,28,13,25,High
Manipur,40,23,23,12,21,High
Tripura,38,22,22,11,20,High
Nagaland,35,20,20,10,19,High
Puducherry,30,17,17,8,17,High
Sikkim,31,18,18,8,16,High
Goa,24,14,14,6,13,High
Goa_Daman_&_Diu,20,12,12,4,11,High
