State,Reserved_Seats,Estimated_Displaced_Incumbents,Displacement_Rate,Current_Women_Incumbents,New_Women_Incumbents_Est
Uttar_Pradesh,107,86,0.8,0,107
Madhya_Pradesh,73,58,0.8,1,73
Bihar,67,54,0.8,0,67
Andhra_Pradesh,67,54,0.8,13,67
West_Bengal,65,52,0.8,0,65
Maharashtra,65,52,0.8,0,65
Tamil_Nadu,41,33,0.8,1,41
Rajasthan,40,32,0.8,0,40
Karnataka,39,31,0.8,0,39
Gujarat,37,30,0.8,0,37
Odisha,36,29,0.8,8,36
Mysore,32,26,0.8,0,32
Punjab,30,24,0.8,0,30
Kerala,30,24,0.8,0,30
Madras,29,23,0.8,0,29
Assam,25,20,0.8,0,25
Chhattisgarh,19,15,0.8,0,19
Arunachal_Pradesh,17,14,0.8,0,17
Jammu_&_Kashmir,18,14,0.8,0,18
Delhi,18,14,0.8,0,18
Himachal_Pradesh,16,13,0.8,0,16
Telangana,15,12,0.8,0,15
Haryana,15,12,0.8,0,15
Meghalaya,15,12,0.8,0,15
Mizoram,14,11,0.8,0,14
Uttarakhand,13,10,0.8,0,13
Jharkhand,13,10,0.8,0,13
Manipur,12,10,0.8,0,12
Tripura,11,9,0.8,0,11
Nagaland,10,8,0.8,0,10
Puducherry,8,6,0.8,0,8
Sikkim,8,6,0.8,0,8
Goa,6,5,0.8,0,6
Goa_Daman_&_Diu,4,3,0.8,0,4
