State,Total_Seats,Reserved_Seats_Target,Representation_Score,Avg_Predicted_Win_Prob,Avg_Gender_Gap,GEN_Reserved,SC_Reserved,ST_Reserved,Top_Const_Names,Swing_Proxy,Strategy,Objective_Score
Uttar_Pradesh,836,276,106.97436590333632,0.3875882822584649,0.0018320129564520862,122,150,4,"UTTAR KASHI, ALDEMAU, BELA DAULTABAD, MIYANGANJ, PACHOTAR",0.0018320129564520862,Representation-First,106.97436590333632
Madhya_Pradesh,508,168,72.7006973357823,0.43274224604632316,0.0018896987079115466,13,37,118,"DANTEWARA, DANTEWADA, KONTA, BARWANI, RAJPUR",0.0018896987079115466,Representation-First,72.7006973357823
Bihar,523,173,66.65997768277259,0.38531779007383,0.001825937547154036,59,67,47,"LITTIPARA, JAINAGAR, NAWANAGAR, GHATSHILA, FATUHA",0.001825937547154036,Representation-First,66.65997768277259
Andhra_Pradesh,495,164,66.52066499203679,0.40561381092705356,0.001855762031720266,83,53,28,"MYADARAM(SC), YERRAGONDIPALEM, KOTHURU, NERELLA, BURGAMPAHAD",0.001855762031720266,Representation-First,66.52066499203679
West_Bengal,467,155,65.18444165940751,0.4205447848994033,0.0018802580992216796,72,62,21,"BALAGARH(SC), KHANDAGHOSH(SC), KHARAGPUR LOCAL, PATASPUR, BURWAN",0.0018802580992216796,Representation-First,65.18444165940751
Maharashtra,513,170,64.56097004360055,0.37977041202117967,0.0018103110960430288,108,23,39,"NAGAR AKOLA, KALVAN, KASA, JAWHAR, HIVADI",0.0018103110960430288,Representation-First,64.56097004360055
Tamil_Nadu,331,110,40.922133038661656,0.3720193912605605,0.0018039574828179396,53,53,4,"TIRUTHURAIPUNDI, UPPILIAPURAM, THIRUCHIRAPPALLI-II, THIRUCHIRAPPALLI-I, YERCAUD",0.0018039574828179396,Representation-First,40.922133038661656
Rajasthan,290,96,39.87990078006714,0.41541563312569935,0.0018638762936700071,21,40,35,"GONGUNDA, SARADA, GOGUNDA, PHALASIA, UDAIPUR RURAL",0.0018638762936700071,Representation-First,39.87990078006714
Karnataka,321,106,39.04684078306521,0.3683664224817472,0.001798967914693485,49,42,15,"DEVADURGA, YEMKANMARDI, SHAHABAD, VIRAJPET, RAICHUR RURAL",0.001798967914693485,Representation-First,39.04684078306521
Gujarat,270,90,36.874971696849876,0.4097219077427764,0.0018577982962050535,32,15,43,"MAHUVA(ST), SONGADH(ST), RANDHIKPUR, DANGS-BANSDA, MORVA HADAF",0.0018577982962050535,Representation-First,36.874971696849876
Odisha,247,82,35.850733062170555,0.43720406173378723,0.0018982861990614742,17,14,51,"LAKSHMIPUR(SC), LAKSHMIPUR, BISSAM-CUTTACK, LAIKERA, G. UDAYAGIRI",0.0018982861990614742,Representation-First,35.850733062170555
Mysore,221,73,32.34179274443897,0.4430382567731366,0.0019070746787300907,52,18,3,"MUDIGERE, RAIBAG, SHAHPUR, CHIKODI, HUMNABAD",0.0019070746787300907,Representation-First,32.34179274443897
