Year,INDIA,NDA,Other,Total,NDA_Share,INDIA_Share,Other_Share
1961,86,0,54,140,0.0,0.6142857142857143,0.38571428571428573
1962,1974,0,956,2930,0.0,0.6737201365187714,0.32627986348122867
1963,7,0,3,10,0.0,0.7,0.3
1964,22,0,78,100,0.0,0.22,0.78
1965,56,0,94,150,0.0,0.37333333333333335,0.6266666666666667
1966,0,0,13,13,0.0,0.0,1.0
1967,2086,269,1145,3500,0.07685714285714286,0.596,0.3271428571428571
1968,54,8,27,89,0.0898876404494382,0.6067415730337079,0.30337078651685395
1969,599,91,507,1197,0.07602339181286549,0.5004177109440268,0.42355889724310775
1970,77,2,94,173,0.011560693641618497,0.44508670520231214,0.5433526011560693
1971,481,1,181,663,0.0015082956259426848,0.7254901960784313,0.2730015082956259
1972,2099,105,573,2777,0.03781058696435002,0.7558516384587685,0.20633777457688152
1974,343,61,316,720,0.08472222222222223,0.47638888888888886,0.4388888888888889
1975,77,18,86,181,0.09944751381215469,0.425414364640884,0.47513812154696133
1977,811,0,1860,2671,0.0,0.3036315986521902,0.6963684013478099
1978,590,0,472,1062,0.0,0.5555555555555556,0.4444444444444444
1979,14,0,62,76,0.0,0.18421052631578946,0.8157894736842105
1980,1808,151,611,2570,0.05875486381322957,0.7035019455252919,0.2377431906614786
1981,30,2,4,36,0.05555555555555555,0.8333333333333334,0.1111111111111111
1982,393,36,244,673,0.05349182763744428,0.5839524517087668,0.362555720653789
1983,383,41,454,878,0.04669703872437358,0.43621867881548976,0.5170842824601367
1984,194,5,212,411,0.012165450121654502,0.4720194647201946,0.5158150851581509
1985,1593,385,834,2812,0.13691322901849218,0.5665007112375533,0.29658605974395447
1986,8,2,10,20,0.1,0.4,0.5
1987,413,20,281,714,0.028011204481792718,0.5784313725490197,0.39355742296918766
1988,80,4,51,135,0.02962962962962963,0.5925925925925926,0.37777777777777777
1989,749,140,462,1351,0.10362694300518134,0.5544041450777202,0.34196891191709844
1990,524,552,602,1678,0.3289630512514899,0.31227651966626935,0.35876042908224076
1991,617,259,503,1379,0.18781725888324874,0.4474256707759246,0.36475707034082666
1992,92,9,24,125,0.072,0.736,0.192
1993,594,446,266,1306,0.34150076569678406,0.4548238897396631,0.20367534456355282
1994,119,265,215,599,0.44240400667779634,0.1986644407345576,0.3589315525876461
1995,363,316,398,1077,0.2934076137418756,0.3370473537604457,0.3695450324976787
1996,765,286,448,1499,0.19079386257505004,0.5103402268178786,0.2988659106070714
1997,25,29,91,145,0.2,0.1724137931034483,0.6275862068965518
1998,647,336,158,1141,0.294478527607362,0.5670464504820333,0.13847502191060473
1999,449,403,102,954,0.4224318658280922,0.47064989517819705,0.1069182389937107
2000,257,159,256,672,0.23660714285714285,0.38244047619047616,0.38095238095238093
2001,482,44,321,847,0.05194805194805195,0.5690672963400236,0.3789846517119244
2002,401,281,304,986,0.28498985801217036,0.4066937119675456,0.30831643002028397
2003,367,398,138,903,0.4407530454042082,0.4064230343300111,0.15282392026578073
2004,522,360,214,1096,0.3284671532846715,0.4762773722627737,0.19525547445255476
2005,286,282,123,691,0.4081041968162084,0.41389290882778584,0.17800289435600578
2006,580,48,229,857,0.056009334889148193,0.676779463243874,0.26721120186697783
2007,338,291,325,954,0.3050314465408805,0.35429769392033544,0.34067085953878407
2008,518,448,187,1153,0.388551604509974,0.4492627927146574,0.16218560277536861
2009,521,236,340,1097,0.21513217866909753,0.4749316317228806,0.3099361896080219
2010,33,213,23,269,0.79182156133829,0.12267657992565056,0.08550185873605948
2011,509,32,311,852,0.03755868544600939,0.5974178403755869,0.36502347417840375
2012,499,265,216,980,0.27040816326530615,0.5091836734693878,0.22040816326530613
2013,395,497,162,1054,0.4715370018975332,0.3747628083491461,0.15370018975332067
2014,263,475,428,1166,0.4073756432246998,0.225557461406518,0.3670668953687822
2015,119,134,84,337,0.39762611275964393,0.35311572700296734,0.24925816023738873
2016,528,93,230,851,0.10928319623971798,0.6204465334900118,0.2702702702702703
2017,294,555,103,952,0.582983193277311,0.3088235294117647,0.10819327731092437
2018,441,398,267,1106,0.35985533453887886,0.3987341772151899,0.24141048824593128
2019,238,370,385,993,0.3726082578046324,0.23967774420946628,0.3877139979859013
2020,110,165,97,372,0.4435483870967742,0.2956989247311828,0.260752688172043
2021,528,172,168,868,0.19815668202764977,0.6082949308755761,0.1935483870967742
2022,225,554,165,944,0.586864406779661,0.23834745762711865,0.17478813559322035
2023,155,131,117,403,0.3250620347394541,0.38461538461538464,0.2903225806451613
